drug 	 gene 	 date 	 conc 	 dataNum 	 objNum 	numTxnSites 	 intensity 
Triptolide	UBC	141105	Ctrl	7	4	2	4116.000000
Triptolide	UBC	141105	Ctrl	8	1	2	4930.000000
Triptolide	UBC	141105	Ctrl	8	1	2	5205.000000
Triptolide	UBC	141105	Ctrl	8	2	1	4807.000000
Triptolide	UBC	141105	Ctrl	8	3	1	4238.000000
Triptolide	UBC	141105	Ctrl	9	1	1	5387.000000
Triptolide	UBC	141105	Ctrl	9	2	2	9978.000000
Triptolide	UBC	141105	Ctrl	9	2	2	6431.000000
Triptolide	UBC	141105	Ctrl	9	3	3	5589.000000
Triptolide	UBC	141105	Ctrl	9	3	3	5641.000000
Triptolide	UBC	141105	Ctrl	9	3	3	4026.000000
Triptolide	MYC	141113	100nM	1	1	1	4997.000000
Triptolide	MYC	141113	100nM	1	2	3	1518.000000
Triptolide	MYC	141113	100nM	1	2	3	2431.000000
Triptolide	MYC	141113	100nM	1	2	3	1864.000000
Triptolide	MYC	141113	100nM	1	3	0	0.000000
Triptolide	MYC	141113	100nM	1	4	2	10198.000000
Triptolide	MYC	141113	100nM	1	4	2	6654.000000
Triptolide	MYC	141113	100nM	2	1	0	0.000000
Triptolide	MYC	141113	100nM	2	2	1	892.000000
Triptolide	MYC	141113	100nM	2	3	1	1621.000000
Triptolide	MYC	141113	100nM	2	4	1	6264.000000
Triptolide	MYC	141113	100nM	3	1	0	0.000000
Triptolide	MYC	141113	100nM	3	2	1	1027.000000
Triptolide	MYC	141113	100nM	3	3	3	8981.000000
Triptolide	MYC	141113	100nM	3	3	3	11381.000000
Triptolide	MYC	141113	100nM	3	3	3	8180.000000
Triptolide	MYC	141113	100nM	4	1	1	5437.000000
Triptolide	MYC	141113	100nM	4	2	1	2005.000000
Triptolide	MYC	141113	100nM	4	3	2	2813.000000
Triptolide	MYC	141113	100nM	4	3	2	4540.000000
Triptolide	MYC	141113	100nM	4	4	0	0.000000
Triptolide	MYC	141113	100nM	5	1	1	3004.000000
Triptolide	MYC	141113	100nM	5	2	1	7201.000000
Triptolide	MYC	141113	100nM	6	1	1	6158.000000
Triptolide	MYC	141113	100nM	6	2	1	3634.000000
Triptolide	MYC	141113	100nM	6	3	0	0.000000
Triptolide	MYC	141113	100nM	7	1	1	1752.000000
Triptolide	MYC	141113	100nM	7	2	0	0.000000
Triptolide	MYC	141113	100nM	7	3	2	2463.000000
Triptolide	MYC	141113	100nM	7	3	2	1791.000000
Triptolide	MYC	141113	100nM	8	1	1	4590.000000
Triptolide	MYC	141113	100nM	8	2	0	0.000000
Triptolide	MYC	141113	100nM	8	3	1	2802.000000
Triptolide	MYC	141113	100nM	9	1	2	3776.000000
Triptolide	MYC	141113	100nM	9	1	2	3982.000000
Triptolide	MYC	141113	100nM	9	2	2	9795.000000
Triptolide	MYC	141113	100nM	9	2	2	3082.000000
Triptolide	MYC	141113	100nM	10	1	2	5903.000000
Triptolide	MYC	141113	100nM	10	1	2	2109.000000
Triptolide	MYC	141113	100nM	10	2	0	0.000000
Triptolide	MYC	141113	100nM	11	1	1	5118.000000
Triptolide	MYC	141113	100nM	11	2	0	0.000000
Triptolide	MYC	141113	100nM	12	1	1	2272.000000
Triptolide	MYC	141113	100nM	12	2	2	2736.000000
Triptolide	MYC	141113	100nM	12	2	2	4646.000000
Triptolide	MYC	141113	100nM	12	3	1	4632.000000
Triptolide	MYC	141113	100nM	12	4	1	3609.000000
Triptolide	MYC	141113	100nM	12	5	0	0.000000
